category,type,difficulty,question,correct_answer,incorrect_answers/0,incorrect_answers/1,incorrect_answers/2
Entertainment: Japanese Anime & Manga,multiple,medium,Who created the animated movie &quot;Spirited Away&quot; (2001)?,Hayao Miyazaki,Isao Takahata,Mamoru Hosoda,Hidetaka Miyazaki
Entertainment: Japanese Anime & Manga,boolean,easy,Clefairy was intended to be Ash&#039;s starting Pok&eacute;mon in the pilot episode of the cartoon.,True,False,,
Entertainment: Japanese Anime & Manga,multiple,medium,"In Dragon Ball Z, who was the first character to go Super Saiyan 2?",Gohan,Goku,Vegeta,Trunks
Entertainment: Japanese Anime & Manga,multiple,medium,"In the anime &quot;Mr. Osomatsu&quot;, how many brothers does Osomatsu-san have?",5,6,7,4
Entertainment: Japanese Anime & Manga,multiple,easy,Who was given the title &quot;Full Metal&quot; in the anime series &quot;Full Metal Alchemist&quot;?,Edward Elric,Alphonse Elric,Van Hohenheim,Izumi Curtis
Entertainment: Japanese Anime & Manga,boolean,medium,The animated film &quot;Spirited Away&quot; won the Academy Award for Best Animated Feature at the 75th Academy Awards in 2003.,True,False,,
Entertainment: Japanese Anime & Manga,multiple,easy,"In &quot;Inuyasha&quot;, what are the heros are looking to collect?",Jewel Shards,Dragon Balls,Rave Stones,Sacred Stones
Entertainment: Japanese Anime & Manga,multiple,easy,What is the name of the corgi in Cowboy Bebop?,Einstein,Edward,Rocket,Joel
Entertainment: Japanese Anime & Manga,multiple,easy,What is the name of the stuffed lion in Bleach?,Kon,Jo,Urdiu,Chad
Entertainment: Japanese Anime & Manga,multiple,easy,"In &quot;Fairy Tail&quot;, what is the nickname of Natsu Dragneel?",The Salamander,The Dragon Slayer,The Dragon,The Demon
Entertainment: Japanese Anime & Manga,multiple,medium,In &quot;Shakugan no Shana&quot; what was the Shana usually referred as?,Flame-Haired Burning-Eyed Hunter,Flame Haze,Flame-Haired Burning-Eyed Haze,Shana
Entertainment: Japanese Anime & Manga,boolean,easy,The anime &quot;Lucky Star&quot; follows the story of one girl who is unaware she is God.,False,True,,
Entertainment: Japanese Anime & Manga,multiple,medium,"In the anime, &quot;Super Sonicio&quot;, what is Super Sonico&#039;s favorite food?",Macroons,Ice Cream,Pizza,Chips
Entertainment: Japanese Anime & Manga,multiple,hard,Which of the following countries does &quot;JoJo&#039;s Bizarre Adventure: Stardust Crusaders&quot; not take place in?,Philippines,India,Pakistan,Egypt
Entertainment: Japanese Anime & Manga,multiple,hard,What year was &quot;JoJo&#039;s Bizarre Adventure: Phantom Blood&quot; first released?,1987,2013,1983,1995
Entertainment: Japanese Anime & Manga,multiple,easy,What was Ash Ketchum&#039;s second Pokemon?,Caterpie,Charmander,Pikachu,Pidgey
Entertainment: Japanese Anime & Manga,multiple,medium,The manga JoJo&#039;s Bizarre Adventure is split into how many parts?,8,6,4,3
Entertainment: Japanese Anime & Manga,multiple,hard,What is the last line muttered in the anime film &quot;The End of Evangelion&quot;?,&quot;How disgusting.&quot;,"&quot;Idiot, I won&#039;t let you kill me!&quot;",&quot;Nothing.&quot;,"&quot;Goddammit, Shinji.&quot;"
